driver,elapsedTime,ECG
driver0,'0:00.115',-0.032
driver0,'0:00.115',-0.032
driver0,'0:00.116',-0.032
driver0,'0:00.116',-0.032
driver0,'0:00.117',-0.017
driver0,'0:00.117',-0.017
driver0,'0:00.118',-0.017
driver0,'0:00.118',-0.017
driver0,'0:00.119',-0.015
driver0,'0:00.119',-0.015
driver0,'0:00.120',-0.015
driver0,'0:00.120',-0.015
driver0,'0:00.121',-0.01
driver0,'0:00.121',-0.01
driver0,'0:00.122',-0.01
driver0,'0:00.122',-0.01
driver0,'0:00.123',-0.026
driver0,'0:00.123',-0.026
driver0,'0:00.124',-0.026
driver0,'0:00.124',-0.026
driver0,'0:00.125',-0.026
driver0,'0:00.126',-0.026
driver0,'0:00.126',-0.026
driver0,'0:00.127',-0.026
driver0,'0:00.127',-0.037000000000000005
driver0,'0:00.128',-0.037000000000000005
driver0,'0:00.128',-0.037000000000000005
driver0,'0:00.129',-0.037000000000000005
driver0,'0:00.129',-0.023
driver0,'0:00.130',-0.023
driver0,'0:00.130',-0.023
driver0,'0:00.131',-0.023
driver0,'0:00.131',-0.029
driver0,'0:00.132',-0.029
driver0,'0:00.132',-0.029
driver0,'0:00.133',-0.029
driver0,'0:00.133',-0.011
driver0,'0:00.134',-0.011
driver0,'0:00.134',-0.011
driver0,'0:00.135',-0.011
driver0,'0:00.135',-0.035
driver0,'0:00.136',-0.035
driver0,'0:00.136',-0.035
driver0,'0:00.137',-0.035
driver0,'0:00.137',-0.011
driver0,'0:00.138',-0.011
driver0,'0:00.138',-0.011
driver0,'0:00.139',-0.011
driver0,'0:00.139',-0.006999999999999999
driver0,'0:00.140',-0.006999999999999999
driver0,'0:00.140',-0.006999999999999999
driver0,'0:00.141',-0.006999999999999999
driver0,'0:00.141',-0.02
driver0,'0:00.142',-0.02
driver0,'0:00.142',-0.02
driver0,'0:00.143',-0.02
driver0,'0:00.143',-0.021
driver0,'0:00.144',-0.021
driver0,'0:00.144',-0.021
driver0,'0:00.145',-0.021
driver0,'0:00.145',-0.004
driver0,'0:00.146',-0.004
driver0,'0:00.146',-0.004
driver0,'0:00.147',-0.004
driver0,'0:00.147',-0.002
driver0,'0:00.148',-0.002
driver0,'0:00.148',-0.002
driver0,'0:00.149',-0.002
driver0,'0:00.149',-0.011
driver0,'0:00.150',-0.011
driver0,'0:00.150',-0.011
driver0,'0:00.151',-0.011
driver0,'0:00.151',-0.023
driver0,'0:00.152',-0.023
driver0,'0:00.152',-0.023
driver0,'0:00.153',-0.023
driver0,'0:00.153',-0.006999999999999999
driver0,'0:00.154',-0.006999999999999999
driver0,'0:00.154',-0.006999999999999999
driver0,'0:00.155',-0.006999999999999999
driver0,'0:00.155',-0.004
driver0,'0:00.156',-0.004
driver0,'0:00.156',-0.004
driver0,'0:00.157',-0.004
driver0,'0:00.157',0.002
driver0,'0:00.158',0.002
driver0,'0:00.158',0.002
driver0,'0:00.159',0.002
driver0,'0:00.159',0.001
driver0,'0:00.160',0.001
driver0,'0:00.160',0.001
driver0,'0:00.161',0.001
driver0,'0:00.161',-0.009000000000000001
driver0,'0:00.162',-0.009000000000000001
driver0,'0:00.162',-0.009000000000000001
driver0,'0:00.163',-0.009000000000000001
driver0,'0:00.163',-0.001
driver0,'0:00.164',-0.001
driver0,'0:00.164',-0.001
driver0,'0:00.165',-0.001
driver0,'0:00.165',-0.013
driver0,'0:00.166',-0.013
driver0,'0:00.166',-0.013
driver0,'0:00.167',-0.013
driver0,'0:00.167',0.006
driver0,'0:00.168',0.006
driver0,'0:00.168',0.006
driver0,'0:00.169',0.006
driver0,'0:00.169',-0.02
driver0,'0:00.170',-0.02
driver0,'0:00.170',-0.02
driver0,'0:00.171',-0.02
driver0,'0:00.171',-0.006999999999999999
driver0,'0:00.172',-0.006999999999999999
driver0,'0:00.172',-0.006999999999999999
driver0,'0:00.173',-0.006999999999999999
driver0,'0:00.173',-0.017
driver0,'0:00.174',-0.017
driver0,'0:00.174',-0.017
driver0,'0:00.175',-0.017
driver0,'0:00.175',-0.024
driver0,'0:00.176',-0.024
driver0,'0:00.176',-0.024
driver0,'0:00.177',-0.024
driver0,'0:00.177',-0.032
driver0,'0:00.178',-0.032
driver0,'0:00.178',-0.032
driver0,'0:00.179',-0.032
driver0,'0:00.179',-0.034
driver0,'0:00.180',-0.034
driver0,'0:00.180',-0.034
driver0,'0:00.181',-0.034
driver0,'0:00.181',-0.037000000000000005
driver0,'0:00.182',-0.037000000000000005
driver0,'0:00.182',-0.037000000000000005
driver0,'0:00.183',-0.037000000000000005
driver0,'0:00.183',-0.022
driver0,'0:00.184',-0.022
driver0,'0:00.184',-0.022
driver0,'0:00.185',-0.022
driver0,'0:00.185',-0.024
driver0,'0:00.186',-0.024
driver0,'0:00.186',-0.024
driver0,'0:00.187',-0.024
driver0,'0:00.188',-0.027000000000000003
driver0,'0:00.188',-0.027000000000000003
driver0,'0:00.189',-0.027000000000000003
driver0,'0:00.189',-0.027000000000000003
driver0,'0:00.190',-0.015
driver0,'0:00.190',-0.015
driver0,'0:00.191',-0.015
driver0,'0:00.191',-0.015
driver0,'0:00.192',-0.032
driver0,'0:00.192',-0.032
driver0,'0:00.193',-0.032
driver0,'0:00.193',-0.032
driver0,'0:00.194',-0.028
driver0,'0:00.194',-0.028
driver0,'0:00.195',-0.028
driver0,'0:00.195',-0.028
driver0,'0:00.196',-0.018000000000000002
driver0,'0:00.196',-0.018000000000000002
driver0,'0:00.197',-0.018000000000000002
driver0,'0:00.197',-0.018000000000000002
driver0,'0:00.198',-0.021
driver0,'0:00.198',-0.021
driver0,'0:00.199',-0.021
driver0,'0:00.199',-0.021
driver0,'0:00.200',-0.021
driver0,'0:00.200',-0.021
driver0,'0:00.201',-0.021
driver0,'0:00.201',-0.021
driver0,'0:00.202',-0.011
driver0,'0:00.202',-0.011
driver0,'0:00.203',-0.011
driver0,'0:00.203',-0.011
driver0,'0:00.204',-0.033
driver0,'0:00.204',-0.033
driver0,'0:00.205',-0.033
driver0,'0:00.205',-0.033
driver0,'0:00.206',-0.039
driver0,'0:00.206',-0.039
driver0,'0:00.207',-0.039
driver0,'0:00.207',-0.039
driver0,'0:00.208',-0.021
driver0,'0:00.208',-0.021
driver0,'0:00.209',-0.021
driver0,'0:00.209',-0.021
driver0,'0:00.210',-0.009000000000000001
driver0,'0:00.210',-0.009000000000000001
driver0,'0:00.211',-0.009000000000000001
driver0,'0:00.211',-0.009000000000000001
driver0,'0:00.212',-0.026
driver0,'0:00.212',-0.026
driver0,'0:00.213',-0.026
driver0,'0:00.213',-0.026
driver0,'0:00.214',-0.027000000000000003
driver0,'0:00.214',-0.027000000000000003
driver0,'0:00.215',-0.027000000000000003
driver0,'0:00.215',-0.027000000000000003
driver0,'0:00.216',-0.011
driver0,'0:00.216',-0.011
driver0,'0:00.217',-0.011
driver0,'0:00.217',-0.011
driver0,'0:00.218',-0.006999999999999999
driver0,'0:00.218',-0.006999999999999999
driver0,'0:00.219',-0.006999999999999999
driver0,'0:00.219',-0.006999999999999999
driver0,'0:00.220',-0.017
driver0,'0:00.220',-0.017
driver0,'0:00.221',-0.017
driver0,'0:00.221',-0.017
driver0,'0:00.222',-0.017
driver0,'0:00.222',-0.017
driver0,'0:00.223',-0.017
driver0,'0:00.223',-0.017
driver0,'0:00.224',-0.016
driver0,'0:00.224',-0.016
driver0,'0:00.225',-0.016
driver0,'0:00.225',-0.016
driver0,'0:00.226',-0.024
driver0,'0:00.226',-0.024
driver0,'0:00.227',-0.024
driver0,'0:00.227',-0.024
driver0,'0:00.228',-0.012
driver0,'0:00.228',-0.012
driver0,'0:00.229',-0.012
driver0,'0:00.229',-0.012
driver0,'0:00.230',-0.02
driver0,'0:00.230',-0.02
driver0,'0:00.231',-0.02
driver0,'0:00.231',-0.02
driver0,'0:00.232',-0.013
driver0,'0:00.232',-0.013
driver0,'0:00.233',-0.013
driver0,'0:00.233',-0.013
driver0,'0:00.234',-0.016
driver0,'0:00.234',-0.016
driver0,'0:00.235',-0.016
driver0,'0:00.235',-0.016
driver0,'0:00.236',-0.033
driver0,'0:00.236',-0.033
driver0,'0:00.237',-0.033
driver0,'0:00.237',-0.033
driver0,'0:00.238',-0.018000000000000002
driver0,'0:00.238',-0.018000000000000002
driver0,'0:00.239',-0.018000000000000002
driver0,'0:00.239',-0.018000000000000002
driver0,'0:00.240',-0.023
driver0,'0:00.240',-0.023
driver0,'0:00.241',-0.023
driver0,'0:00.241',-0.023
driver0,'0:00.242',-0.018000000000000002
driver0,'0:00.242',-0.018000000000000002
driver0,'0:00.243',-0.018000000000000002
driver0,'0:00.243',-0.018000000000000002
driver0,'0:00.244',-0.016
driver0,'0:00.244',-0.016
driver0,'0:00.245',-0.016
driver0,'0:00.245',-0.016
driver0,'0:00.246',-0.013
driver0,'0:00.246',-0.013
driver0,'0:00.247',-0.013
driver0,'0:00.247',-0.013
driver0,'0:00.248',-0.026
driver0,'0:00.248',-0.026
driver0,'0:00.249',-0.026
driver0,'0:00.249',-0.026
driver0,'0:00.250',-0.035
driver0,'0:00.251',-0.035
driver0,'0:00.251',-0.035
driver0,'0:00.252',-0.035
driver0,'0:00.252',-0.033
driver0,'0:00.253',-0.033
driver0,'0:00.253',-0.033
driver0,'0:00.254',-0.033
driver0,'0:00.254',-0.024
driver0,'0:00.255',-0.024
driver0,'0:00.255',-0.024
driver0,'0:00.256',-0.024
driver0,'0:00.256',-0.023
driver0,'0:00.257',-0.023
driver0,'0:00.257',-0.023
driver0,'0:00.258',-0.023
driver0,'0:00.258',-0.033
driver0,'0:00.259',-0.033
driver0,'0:00.259',-0.033
driver0,'0:00.260',-0.033
driver0,'0:00.260',-0.029
driver0,'0:00.261',-0.029
driver0,'0:00.261',-0.029
driver0,'0:00.262',-0.029
driver0,'0:00.262',-0.039
driver0,'0:00.263',-0.039
driver0,'0:00.263',-0.039
driver0,'0:00.264',-0.039
driver0,'0:00.264',-0.034
driver0,'0:00.265',-0.034
driver0,'0:00.265',-0.034
driver0,'0:00.266',-0.034
driver0,'0:00.266',-0.021
driver0,'0:00.267',-0.021
driver0,'0:00.267',-0.021
driver0,'0:00.268',-0.021
driver0,'0:00.268',-0.017
driver0,'0:00.269',-0.017
driver0,'0:00.269',-0.017
driver0,'0:00.270',-0.017
driver0,'0:00.270',-0.021
driver0,'0:00.271',-0.021
driver0,'0:00.271',-0.021
driver0,'0:00.272',-0.021
driver0,'0:00.272',-0.024
driver0,'0:00.273',-0.024
driver0,'0:00.273',-0.024
driver0,'0:00.274',-0.024
driver0,'0:00.274',0.001
driver0,'0:00.275',0.001
driver0,'0:00.275',0.001
driver0,'0:00.276',0.001
driver0,'0:00.276',0.018000000000000002
driver0,'0:00.277',0.018000000000000002
driver0,'0:00.277',0.018000000000000002
driver0,'0:00.278',0.018000000000000002
driver0,'0:00.278',0.038
driver0,'0:00.279',0.038
driver0,'0:00.279',0.038
driver0,'0:00.280',0.038
driver0,'0:00.280',0.062
driver0,'0:00.281',0.062
driver0,'0:00.281',0.062
driver0,'0:00.282',0.062
driver0,'0:00.282',0.078
driver0,'0:00.283',0.078
driver0,'0:00.283',0.078
driver0,'0:00.284',0.078
driver0,'0:00.284',0.095
driver0,'0:00.285',0.095
driver0,'0:00.285',0.095
driver0,'0:00.286',0.095
driver0,'0:00.286',0.111
driver0,'0:00.287',0.111
driver0,'0:00.287',0.111
driver0,'0:00.288',0.111
driver0,'0:00.288',0.106
driver0,'0:00.289',0.106
driver0,'0:00.289',0.106
driver0,'0:00.290',0.106
driver0,'0:00.290',0.1
driver0,'0:00.291',0.1
driver0,'0:00.291',0.1
driver0,'0:00.292',0.1
driver0,'0:00.292',0.04
driver0,'0:00.293',0.04
driver0,'0:00.293',0.04
driver0,'0:00.294',0.04
driver0,'0:00.294',-0.067
driver0,'0:00.295',-0.067
driver0,'0:00.295',-0.067
driver0,'0:00.296',-0.067
driver0,'0:00.296',-0.26
driver0,'0:00.297',-0.26
driver0,'0:00.297',-0.26
driver0,'0:00.298',-0.26
driver0,'0:00.298',-0.459
driver0,'0:00.299',-0.459
driver0,'0:00.299',-0.459
driver0,'0:00.300',-0.459
driver0,'0:00.300',-0.7040000000000001
driver0,'0:00.301',-0.7040000000000001
driver0,'0:00.301',-0.7040000000000001
driver0,'0:00.302',-0.7040000000000001
driver0,'0:00.302',-0.967
driver0,'0:00.303',-0.967
driver0,'0:00.303',-0.967
driver0,'0:00.304',-0.967
driver0,'0:00.304',-1.196
driver0,'0:00.305',-1.196
driver0,'0:00.305',-1.196
driver0,'0:00.306',-1.196
driver0,'0:00.306',-1.367
driver0,'0:00.307',-1.367
driver0,'0:00.307',-1.367
driver0,'0:00.308',-1.367
driver0,'0:00.308',-1.464
driver0,'0:00.309',-1.464
driver0,'0:00.309',-1.464
driver0,'0:00.310',-1.464
driver0,'0:00.310',-1.452
driver0,'0:00.311',-1.452
driver0,'0:00.311',-1.452
driver0,'0:00.312',-1.452
driver0,'0:00.313',-1.337
driver0,'0:00.313',-1.337
driver0,'0:00.314',-1.337
driver0,'0:00.314',-1.337
driver0,'0:00.315',-1.214
driver0,'0:00.315',-1.214
driver0,'0:00.316',-1.214
driver0,'0:00.316',-1.214
driver0,'0:00.317',-1.071
driver0,'0:00.317',-1.071
driver0,'0:00.318',-1.071
driver0,'0:00.318',-1.071
driver0,'0:00.319',-0.884
driver0,'0:00.319',-0.884
driver0,'0:00.320',-0.884
driver0,'0:00.320',-0.884
driver0,'0:00.321',-0.639
driver0,'0:00.321',-0.639
driver0,'0:00.322',-0.639
driver0,'0:00.322',-0.639
driver0,'0:00.323',-0.36
driver0,'0:00.323',-0.36
driver0,'0:00.324',-0.36
driver0,'0:00.324',-0.36
driver0,'0:00.325',-0.198
driver0,'0:00.325',-0.198
driver0,'0:00.326',-0.198
driver0,'0:00.326',-0.198
driver0,'0:00.327',-0.112
driver0,'0:00.327',-0.112
driver0,'0:00.328',-0.112
driver0,'0:00.328',-0.112
driver0,'0:00.329',-0.078
driver0,'0:00.329',-0.078
driver0,'0:00.330',-0.078
driver0,'0:00.330',-0.078
driver0,'0:00.331',-0.056
driver0,'0:00.331',-0.056
driver0,'0:00.332',-0.056
driver0,'0:00.332',-0.056
driver0,'0:00.333',-0.031
driver0,'0:00.333',-0.031
driver0,'0:00.334',-0.031
driver0,'0:00.334',-0.031
driver0,'0:00.335',-0.016
driver0,'0:00.335',-0.016
driver0,'0:00.336',-0.016
driver0,'0:00.336',-0.016
driver0,'0:00.337',-0.006999999999999999
driver0,'0:00.337',-0.006999999999999999
driver0,'0:00.338',-0.006999999999999999
driver0,'0:00.338',-0.006999999999999999
driver0,'0:00.339',-0.005
driver0,'0:00.339',-0.005
driver0,'0:00.340',-0.005
driver0,'0:00.340',-0.005
driver0,'0:00.341',0.005
driver0,'0:00.341',0.005
driver0,'0:00.342',0.005
driver0,'0:00.342',0.005
driver0,'0:00.343',0.016
driver0,'0:00.343',0.016
driver0,'0:00.344',0.016
driver0,'0:00.344',0.016
driver0,'0:00.345',0.013
driver0,'0:00.345',0.013
driver0,'0:00.346',0.013
driver0,'0:00.346',0.013
driver0,'0:00.347',0.039
driver0,'0:00.347',0.039
driver0,'0:00.348',0.039
driver0,'0:00.348',0.039
driver0,'0:00.349',0.034
driver0,'0:00.349',0.034
driver0,'0:00.350',0.034
driver0,'0:00.350',0.034
driver0,'0:00.351',0.027000000000000003
driver0,'0:00.351',0.027000000000000003
driver0,'0:00.352',0.027000000000000003
driver0,'0:00.352',0.027000000000000003
driver0,'0:00.353',0.045
driver0,'0:00.353',0.045
driver0,'0:00.354',0.045
driver0,'0:00.354',0.045
driver0,'0:00.355',0.038
driver0,'0:00.355',0.038
driver0,'0:00.356',0.038
driver0,'0:00.356',0.038
driver0,'0:00.357',0.05
driver0,'0:00.357',0.05
driver0,'0:00.358',0.05
driver0,'0:00.358',0.05
driver0,'0:00.359',0.046
driver0,'0:00.359',0.046
driver0,'0:00.360',0.046
driver0,'0:00.360',0.046
driver0,'0:00.361',0.051
driver0,'0:00.361',0.051
driver0,'0:00.362',0.051
driver0,'0:00.362',0.051
driver0,'0:00.363',0.063
driver0,'0:00.363',0.063
driver0,'0:00.364',0.063
driver0,'0:00.364',0.063
driver0,'0:00.365',0.056
driver0,'0:00.365',0.056
driver0,'0:00.366',0.056
driver0,'0:00.366',0.056
driver0,'0:00.367',0.051
driver0,'0:00.367',0.051
driver0,'0:00.368',0.051
driver0,'0:00.368',0.051
driver0,'0:00.369',0.066
driver0,'0:00.369',0.066
driver0,'0:00.370',0.066
driver0,'0:00.370',0.066
driver0,'0:00.371',0.066
driver0,'0:00.371',0.066
driver0,'0:00.372',0.066
driver0,'0:00.372',0.066
driver0,'0:00.373',0.065
driver0,'0:00.373',0.065
driver0,'0:00.374',0.065
driver0,'0:00.374',0.065
driver0,'0:00.375',0.07400000000000001
driver0,'0:00.376',0.07400000000000001
driver0,'0:00.376',0.07400000000000001
driver0,'0:00.377',0.07400000000000001
driver0,'0:00.377',0.055
driver0,'0:00.378',0.055
driver0,'0:00.378',0.055
driver0,'0:00.379',0.055
driver0,'0:00.379',0.068
driver0,'0:00.380',0.068
driver0,'0:00.380',0.068
driver0,'0:00.381',0.068
driver0,'0:00.381',0.062
driver0,'0:00.382',0.062
driver0,'0:00.382',0.062
driver0,'0:00.383',0.062
driver0,'0:00.383',0.067
driver0,'0:00.384',0.067
driver0,'0:00.384',0.067
driver0,'0:00.385',0.067
driver0,'0:00.385',0.06
driver0,'0:00.386',0.06
driver0,'0:00.386',0.06
driver0,'0:00.387',0.06
driver0,'0:00.387',0.059
driver0,'0:00.388',0.059
driver0,'0:00.388',0.059
driver0,'0:00.389',0.059
driver0,'0:00.389',0.06
driver0,'0:00.390',0.06
driver0,'0:00.390',0.06
driver0,'0:00.391',0.06
driver0,'0:00.391',0.061
driver0,'0:00.392',0.061
driver0,'0:00.392',0.061
driver0,'0:00.393',0.061
driver0,'0:00.393',0.071
driver0,'0:00.394',0.071
driver0,'0:00.394',0.071
driver0,'0:00.395',0.071
driver0,'0:00.395',0.061
driver0,'0:00.396',0.061
driver0,'0:00.396',0.061
driver0,'0:00.397',0.061
driver0,'0:00.397',0.066
driver0,'0:00.398',0.066
driver0,'0:00.398',0.066
driver0,'0:00.399',0.066
driver0,'0:00.399',0.055
driver0,'0:00.400',0.055
driver0,'0:00.400',0.055
driver0,'0:00.401',0.055
driver0,'0:00.401',0.063
driver0,'0:00.402',0.063
driver0,'0:00.402',0.063
driver0,'0:00.403',0.063
driver0,'0:00.403',0.049
driver0,'0:00.404',0.049
driver0,'0:00.404',0.049
driver0,'0:00.405',0.049
driver0,'0:00.405',0.062
driver0,'0:00.406',0.062
driver0,'0:00.406',0.062
driver0,'0:00.407',0.062
driver0,'0:00.407',0.081
driver0,'0:00.408',0.081
driver0,'0:00.408',0.081
driver0,'0:00.409',0.081
driver0,'0:00.409',0.055
driver0,'0:00.410',0.055
driver0,'0:00.410',0.055
driver0,'0:00.411',0.055
driver0,'0:00.411',0.056
driver0,'0:00.412',0.056
driver0,'0:00.412',0.056
driver0,'0:00.413',0.056
driver0,'0:00.413',0.055
driver0,'0:00.414',0.055
driver0,'0:00.414',0.055
driver0,'0:00.415',0.055
driver0,'0:00.415',0.062
driver0,'0:00.416',0.062
driver0,'0:00.416',0.062
driver0,'0:00.417',0.062
driver0,'0:00.417',0.061
driver0,'0:00.418',0.061
driver0,'0:00.418',0.061
driver0,'0:00.419',0.061
driver0,'0:00.419',0.055
driver0,'0:00.420',0.055
driver0,'0:00.420',0.055
driver0,'0:00.421',0.055
driver0,'0:00.421',0.061
driver0,'0:00.422',0.061
driver0,'0:00.422',0.061
driver0,'0:00.423',0.061
driver0,'0:00.423',0.07200000000000001
driver0,'0:00.424',0.07200000000000001
driver0,'0:00.424',0.07200000000000001
driver0,'0:00.425',0.07200000000000001
driver0,'0:00.425',0.044
driver0,'0:00.426',0.044
driver0,'0:00.426',0.044
driver0,'0:00.427',0.044
driver0,'0:00.427',0.055
driver0,'0:00.428',0.055
driver0,'0:00.428',0.055
driver0,'0:00.429',0.055
driver0,'0:00.429',0.057
driver0,'0:00.430',0.057
driver0,'0:00.430',0.057
driver0,'0:00.431',0.057
driver0,'0:00.431',0.054000000000000006
driver0,'0:00.432',0.054000000000000006
